id,iban,dateOpened,customerId,balance
93,GT15483542200197576182364565,2022-06-11,136,41428
94,HR8736411111626003968,2022-08-29,404,89599
95,GE81447656432818358513,2022-01-28,426,88738
96,SM4256269438630670527675183,2021-05-22,105,6266
97,LI7775880735241271570,2022-07-11,61,14222
98,DK3296003832713462,2020-12-13,362,82363
99,GI63BKLL708784676145168,2021-10-24,17,13783
100,LT408891133666373116,2021-04-13,28,99060
101,GT34913436531490507135755216,2022-09-27,431,66323
102,KW4554124072412320757187818111,2022-11-23,444,14568
103,DK2485342634829420,2021-09-13,121,28656
104,BA877715817721886409,2022-10-06,239,16704
105,BE13022274809526,2022-10-16,164,97499
106,KW7043397663301436791625460175,2021-01-05,452,35361
107,SI10662147824582332,2022-09-29,330,98082
108,GT07844768774348357877463457,2021-09-06,220,34920
109,LV85FNHM2578254163331,2022-02-24,160,56266
110,NO2901676485438,2021-05-30,141,4133
111,SM6831148540219753340416274,2022-06-15,209,76259
112,EE383151591823338287,2021-04-27,222,64078
113,DE07876261311157225888,2021-05-25,64,56506
114,RO93EMPF8779336549861645,2022-10-26,302,15818
115,GL6883511678177562,2020-12-04,16,37493
116,GT72489627841724763465676705,2021-02-09,346,8400
117,IE31VEBW87475917587364,2021-12-08,181,13915
118,CY90204582862432941335721738,2022-04-23,102,15841
119,EE691176263796382788,2021-06-12,353,23092
120,FI5262185785111177,2021-09-11,376,9509
121,DE67475570943658270473,2021-11-18,190,27052
122,MR9542336864820351756850830,2021-06-25,363,95935
123,HU31546473332698245479917548,2022-01-07,206,62723
124,ME18453251610258778924,2021-09-06,20,58049
125,AE967391929594326468437,2022-09-28,330,41568
126,PT58376712314637787668818,2022-10-04,369,86014
127,KW2767742501531440480616071828,2021-04-15,46,67341
128,VG7713151593244527001683,2022-10-07,62,98711
129,CH2421654108139751733,2022-09-12,28,43583
130,BA865545141883267898,2021-07-27,188,54296
131,PL86375447242881224338334698,2021-02-10,68,33797
132,PK5567485256338840944137,2022-03-21,420,863
133,MK71477236141179769,2021-03-12,226,53673
134,SK9811042350488617857123,2022-05-05,310,44001
135,PS580822221716362483281111341,2021-12-26,128,19055
136,PS195933703716414516789860956,2022-11-07,253,28625
137,FR1677136750311463878426309,2021-12-11,58,36688
138,AD7393545658378363070793,2021-11-01,186,14792
139,CR3845607268546244671,2022-10-05,82,70435
140,VG6145324876503637423834,2021-05-28,29,25860
141,NO8407914525930,2021-06-11,234,91879
142,DK3684135920121440,2021-12-20,405,23999
143,SA3051288485045865688539,2022-02-05,34,69647
144,NO1181175972548,2020-12-08,102,61787
145,PS785223466421425797075801421,2022-11-18,421,44945
146,RO08GJWC4642728213485635,2022-02-27,67,92922
147,LI8555788814312238664,2021-03-30,210,60827
148,ES2268373656227477580178,2022-04-19,404,56002
149,PK3387215048101320037674,2021-12-06,402,5663
150,TR211181362362776480377532,2022-09-20,4,85335
151,SM6175677733254314176611122,2022-04-07,277,28561
152,LB48632652754479715757764315,2021-12-22,421,96040
153,AZ85448796110321368481125126,2021-01-17,406,22308
154,TR069283676681565617262850,2021-02-19,306,61965
155,AE934528630585462609492,2021-04-13,330,19383
156,CZ9776421725829655877657,2022-11-14,63,25108
157,LB31158825653862642322886122,2022-02-25,244,5762
158,VG6634976742181489575525,2021-06-28,25,2778
159,LT483584983283215176,2021-03-29,14,17023
160,MK49938191224185116,2022-02-28,61,79936
161,RO14KVDR2003929741477735,2021-12-16,103,29142
162,SA9452077835432519473038,2021-04-20,125,87129
163,EE418556516866796387,2022-07-14,348,46050
164,IE46EHNH03014739343624,2022-05-20,27,28206
165,IS641151867322010315857888,2022-03-20,462,77945
166,GL7538440841120663,2022-09-13,296,19352
167,SM6197014972576283544680315,2021-05-09,164,63307
168,LI7135387895136635508,2021-09-09,299,12990
169,MK12588883681163826,2022-08-11,215,27992
170,IE77KRKK65634233637573,2021-12-27,466,49290
171,MK25334726509886517,2021-04-29,326,15886
172,MT76VUNS25526656666224472745233,2021-03-25,308,69556
173,FI2514214425714885,2022-11-04,53,25329
174,ES8801555526636971437679,2021-05-25,413,3213
175,GI68UWTH667163402223522,2022-02-08,213,42394
176,LB83284414215686481881973612,2021-05-05,339,16899
177,SA4551177281534396734227,2021-08-05,269,76103
178,GI14WWAL376224516043145,2022-06-26,291,89737
179,SM5833756646632592398758022,2022-08-31,423,32512
180,SE9786261871813125856210,2022-10-28,278,53246
181,DK4840576118437671,2021-03-02,291,37616
182,CY89294413372630459930664558,2021-02-16,292,93462
183,PK0233366927879050298857,2022-03-08,305,88096
184,KZ835612126315862453,2022-04-20,144,60028
185,BG83JIYN21502675644732,2021-10-18,388,38619
186,AD8149011234285118296315,2022-03-27,173,81203
187,SK2137291685867863425077,2021-12-09,411,58739
188,HR2542345223039666272,2021-08-02,388,36762
189,EE781347615482396582,2022-08-22,198,20726
190,VG7577117544683352236764,2022-03-09,102,14330
191,MD2118444458127643661175,2021-08-26,473,57164
192,CH9593533359462961438,2021-08-02,171,58912
193,GL6553848782540628,2022-02-26,340,49721
194,PT04995121055378612438952,2021-03-08,118,24531
195,SE6510588388545954186049,2020-12-10,350,14621
196,LT423868323346172159,2021-05-26,5,67647
197,AE465798810712942431365,2022-04-28,434,87738
198,HU12158063749402774854756822,2022-06-21,459,36175
199,SI13702833348677379,2021-11-18,483,63556
200,EE596785071155447423,2022-09-06,452,15071
201,HU51851744625381115638484837,2021-11-16,479,97201
202,SI13517351307361132,2022-03-24,168,93061
203,IL456898605763825703836,2021-12-15,303,45050
204,RO96XCHM4035757541739324,2022-09-01,263,51680
205,GB37FIFA47659632077065,2022-04-02,114,82143
206,DK6159126558636526,2021-09-01,422,22423
207,MC4128907893134153623475479,2021-10-30,172,66602
208,PS849336661252675328333123253,2021-05-31,389,62459
209,ES0568430615677898565427,2022-07-16,98,85047
210,BH29662834567375093686,2021-04-02,305,40058
211,IE87NCUX34323618876773,2022-01-21,375,61895
212,LV47SYMM8146722093414,2022-11-03,165,42613
213,RO70KIPK9767428101733868,2022-03-27,337,77550
214,LT747233132029394358,2021-11-08,70,79644
215,BE26661345650431,2021-08-18,159,74242
216,GE43167341597789131684,2022-02-24,80,68691
217,TR477655723612872457992078,2022-08-13,220,8483
218,SM3030148475741565211583644,2022-02-15,196,41983
219,BG23ZPYB33451756257641,2022-06-04,174,1822
220,GE33465371866833361439,2021-05-07,98,31206
221,IL372765788753630218284,2022-05-15,338,25068
222,PS909728360215224688353431116,2021-08-12,161,35517
223,MU3016192851435956056251818482,2021-10-30,254,83518
224,SM7528537781959768591924262,2021-09-09,439,41373
225,LV72WDWD7377367627205,2022-05-17,21,32188
226,AE693753144115415738825,2021-12-01,412,65910
227,BH74509824510448915222,2021-07-19,322,6082
228,FO9758437198527349,2021-08-14,364,56487
229,ES2665011082428898644701,2020-12-18,498,7678
230,PL07641062260257330628759022,2022-10-23,413,82188
231,MK69343498725615595,2022-08-07,370,85675
232,ME19221638235086746068,2021-04-23,437,73060
233,KW5986871081134717726320275573,2022-04-01,19,15683
234,TR716256708283274887505975,2022-10-26,436,12852
235,BE68259345282133,2021-01-03,166,28970
236,LV44POKX5270348193267,2020-12-22,74,64900
237,FR2322078588881673863552578,2021-08-21,249,60661
238,LT503195962345674398,2022-05-31,393,80142
239,ES4913984111241776192643,2022-06-03,223,93221
240,NO8354021863905,2021-06-18,480,17146
241,RS09647508899636563733,2020-12-19,173,47199
242,LI2622510790427274453,2021-03-14,458,43955
243,KZ767285942151653181,2021-10-14,367,65033
244,CH6187963795676402335,2021-10-01,236,3843
245,IL518482246565435121453,2022-05-08,267,95129
246,ME75416898976486202485,2021-12-03,143,71060
247,TN6715121445510232325231,2020-12-24,195,78621
248,BE13266846577721,2021-08-08,253,6457
249,LB10686281631153667396954675,2022-02-22,399,96091
250,GI20OTVF131888142002291,2021-11-17,288,15975
251,GL7931452708888484,2022-10-04,240,9650
252,LB43086327757766311198096865,2021-08-15,196,48732
253,BE76875808362131,2021-04-20,146,9394
254,LI3780322845626901586,2022-07-30,457,93766
255,MC0388651345827158606124473,2021-08-29,76,47631
256,FI1940684122282877,2022-10-18,41,45056
257,IS496552386680788306572479,2022-09-21,378,25453
258,CH2317486248075201586,2021-09-27,83,58660
259,SK7168301424234781332527,2021-08-02,493,92527
260,SI14562079047132535,2022-06-24,66,69310
261,PK7928413177521584878426,2022-07-16,387,97067
262,GL2520764567271911,2021-09-28,406,91553
263,DO25369079054553250635823966,2021-06-06,303,97798
264,GI47LGGY436012628321660,2021-03-25,427,99628
265,IE17AGRF92932892850605,2021-11-07,268,63267
266,IT537HUMKI23718768421397480,2021-12-07,176,35760
267,CH5104990740213130017,2021-02-26,471,83627
268,PL63056513545377083765661028,2021-07-23,101,67705
269,RS14396121144316853347,2022-06-23,91,62429
270,GE64872151899991983819,2022-09-15,401,80861
271,LU363147832167564972,2021-09-20,370,70794
272,KZ540158497172845137,2021-11-01,11,69697
273,IS351189361058092427248575,2022-08-01,166,94704
274,KZ355354276108427887,2022-03-19,286,3793
275,KZ649644681682359943,2021-12-02,77,17971
276,BH98113168963743433763,2021-08-09,122,39016
277,GR7628478924848237463781074,2020-11-27,162,11127
278,DE03172554615418286717,2021-04-25,67,39796
279,LU582351355385428662,2021-12-03,380,71769
280,SE4668617152346611315518,2021-09-25,173,85355
281,GT37438771221785749491150581,2022-01-25,464,62351
282,RO85JIHV2207650239632742,2022-06-27,157,55723
283,MC9690633855359459224464717,2021-03-19,435,56688
284,DO60872195393331154184436447,2021-10-02,281,63457
285,RO91BBUN7671173362263062,2021-07-08,78,57390
286,BH33367866466317518465,2022-06-18,182,15319
287,BA464481784934418180,2021-05-04,69,25523
288,RO11NILI8424218204318934,2021-04-24,411,24557
289,KZ676557815934996124,2021-01-30,61,6836
290,GE26731364750208256207,2022-04-02,458,48324
291,AZ92412577873533672476182371,2021-07-25,100,65425
292,TN4837558628143104142342,2022-06-23,477,61092
293,DO65834222430923112168475745,2021-10-16,291,18834
294,IT891NGZHI60762865576846482,2022-05-30,29,86720
295,KZ562835732223317279,2022-05-24,170,48239
296,GR4036280229195871401068531,2022-04-02,159,87139
297,LI9776933174640142374,2022-06-04,273,15777
298,GL3290570457189775,2022-02-11,111,63084
299,CZ1142845365082486638251,2022-01-01,5,92888
300,TN7445446625542077354481,2022-05-03,6,17459
301,NO2731082780337,2022-01-08,75,25757
302,SE5127852729021502347383,2022-05-08,499,17306
303,AE749633536118704523648,2020-12-25,484,68153
304,DK1907238624848953,2022-04-28,242,28700
305,EE277389544736676545,2022-02-22,431,25015
306,NL96KHKX4666665462,2021-03-11,440,11756
307,SM2628398646446792414777263,2021-07-13,268,23203
308,LT037768102388905450,2022-07-06,91,94396
309,FO4489787373705583,2022-06-21,152,51772
310,AL26037647574386771363531398,2021-04-23,250,68928
311,IT668QORXI73349142797763862,2021-03-31,428,57156
312,FR0611882980514199424321224,2021-09-15,472,69859
313,MR6215256603479883515352365,2022-05-05,76,4112
314,PL89420322372921462946767210,2022-05-31,74,42804
315,BH70684717262915788118,2021-01-03,127,96694
316,LT637216141888336017,2022-10-22,482,95823
317,SI40503230515127141,2022-01-04,467,32332
318,EE197241041351212230,2022-06-29,85,98635
319,DO37988263837372728647499662,2022-03-28,207,18349
320,PT70992208211293824644836,2022-07-17,71,10008
321,DK2374035616891255,2021-04-25,220,21079
322,DO58335588195476740779158951,2022-08-30,93,51027
323,IT212WGSGI27197764988191825,2022-10-17,204,11811
324,DO64578032978318738056285867,2022-03-06,30,15705
325,AT898570466042656328,2022-02-15,427,24483
326,DO86504791343166188522379126,2021-11-08,48,97636
327,CR7974315653634634127,2022-04-29,263,60737
328,AE673166134535859428623,2022-04-12,19,82945
329,AD6735467405348966363015,2021-08-18,283,26689
330,RS18771185731799158255,2021-12-24,142,33332
331,FR0369655036072800169133183,2021-08-30,305,40511
332,LV63JTGS7278172886560,2022-08-29,76,11373
333,MD5448845948348065677584,2021-08-29,165,92649
334,MC9086376096096845853856046,2022-03-13,147,86303
335,AL59023683479049933877223436,2022-01-21,253,69388
336,CR5071339373713365588,2021-01-09,283,7189
337,SA6265625409007313233126,2022-06-13,34,46405
338,LI7684433035487149865,2021-09-12,266,44747
339,PS621980385547882348373133555,2022-10-24,463,83716
340,LV37QFVH1772646524345,2021-05-11,485,54674
341,GB64WDTH44610655932637,2021-11-29,147,96562
342,FO4519420265956386,2021-09-28,34,9326
343,PT85719136506831832949827,2021-07-13,65,83540
344,LB80358311377781817559705978,2021-03-08,259,8627
345,DO30177774723814126857863456,2021-04-08,151,31449
346,PK2301313160805803024808,2021-04-04,491,130
347,AE723283518032275168151,2021-06-02,323,4175
348,RS55482685545246767667,2021-07-01,82,20304
349,NL08XABB6787445487,2022-11-16,305,15799
350,GR2796085675544614927268123,2022-07-15,233,5468
351,IT033XENBI65618529125930967,2022-10-15,34,49845
352,IS217933842674225162013862,2022-06-11,291,41952
353,SM0376706715488481373936847,2022-04-29,102,52941
354,CZ2984488811176543376257,2022-02-24,281,78319
355,MU8131138176658182257287486325,2022-08-31,301,9006
356,DE76582486895375281782,2021-06-14,219,7527
357,HU26142062236599552932743851,2022-04-07,245,8741
358,IE80TTYY61244524412824,2022-06-16,346,8251
359,SM7351111671843164677868559,2021-04-06,132,26778
360,MR4839379657765504144223138,2022-06-13,327,40519
361,VG2278979757431164286514,2021-07-15,216,4935
362,MK16673307260451482,2021-08-16,162,73129
363,IL758646013590667330607,2022-11-19,197,44267
364,DK7657629795331846,2022-08-22,76,92891
365,DO46311463497441182422628958,2021-10-10,369,36240
366,GE29553665451558231205,2022-06-02,226,23768
367,BE90533371313720,2021-07-22,167,50550
368,PK7355110644344746635260,2021-04-07,154,48633
369,GR0838287819591814227658295,2021-08-15,230,13705
370,SK7393256146254743465653,2021-01-11,319,92300
371,MD9129675028452124544382,2021-04-11,250,62291
372,AT786924882465383946,2021-09-23,177,62557
373,GL5084137543671728,2020-12-15,114,97447
374,SE2856042217341456074521,2022-07-14,329,44032
375,IT339CQKUI76548675566061847,2021-12-05,213,77813
376,AL76458557627213447178107857,2022-03-12,146,22610
377,LI8429520974326294576,2021-01-19,36,385
378,BG87VYXX17854844068296,2021-06-25,230,52314
379,KZ956861214138171559,2022-07-13,95,99161
380,IT839SBCFI34964926311869523,2021-01-25,111,78102
381,LV30EGKT9550362534918,2022-01-21,383,71095
382,PK4596554745383331767023,2021-03-03,230,27360
383,SA6749621512186433885487,2022-02-10,382,75427
384,GE08343791478473716551,2021-03-30,117,90741
385,MC4169675865354751850171491,2022-05-02,108,75266
386,NO2143758278434,2021-04-22,412,58692
387,BG65QGYU38769836334518,2021-08-21,447,29565
388,LU747093675355216706,2022-05-06,302,75737
389,PT29337225264178492818185,2022-10-28,478,42637
390,IL145836026043658237920,2021-08-17,201,85852
391,NL45UXNZ7151813685,2021-10-06,142,71273
392,IE81VKMK62364983082980,2022-03-08,442,46798
393,RS39424674896382674417,2022-01-11,92,25382
394,MK85489773736447622,2022-09-03,241,89741
395,LT040414276517250665,2022-07-05,327,55100
396,SA0688824149972669889879,2021-06-14,433,3975
397,GI89SZGQ745567541597267,2022-02-18,450,20683
398,GI30QRWH572246557593052,2021-05-26,209,38150
399,MD6850858213464164394362,2021-09-15,337,67564
400,ME62668605847485756552,2021-11-08,418,64002
401,LU932320757870381479,2022-03-27,114,6023
402,IT446EPAYI17327295747832058,2020-12-09,32,87008
403,DE26492248492612113390,2022-05-17,369,36711
404,GE77317391927615154100,2021-07-14,297,76041
405,LV70DPMF7779534680355,2021-03-28,44,23949
406,PL42804027436435290546478824,2022-07-26,494,79769
407,KZ948173430776282294,2022-09-16,391,501
408,TN4356119252138765140861,2022-11-23,176,23597
409,SM6627012423577556397536863,2022-03-09,248,72898
410,NL24HEYW6556873733,2021-05-07,425,66302
411,VG3864118763893732326107,2022-01-02,492,73131
412,BG57KNNT71440645205375,2022-11-16,389,15733
413,FI0979287382247815,2022-11-20,455,88183
414,BA961933977814718480,2021-02-08,342,82342
415,IS223965768278829465123662,2021-10-25,36,74632
416,IL435719174357787765177,2022-02-20,107,7231
417,NL15OMSR6086811582,2022-10-30,29,92047
418,IS936448557423182506398378,2022-01-16,133,87393
419,AL79315163762454080226826681,2021-04-20,436,10892
420,AT113215164476836635,2022-02-16,194,8949
421,GB68HERT33625478584507,2021-06-25,271,35594
422,GR8536097352616815264313674,2022-08-26,290,31546
423,BA606763982688567675,2022-10-18,137,16318
424,ES0390453429480789201074,2021-12-19,476,94616
425,FO5458675676576771,2021-08-08,316,88313
426,CZ4021563725377259383231,2022-04-26,91,38181
427,RS32185672018786542643,2021-10-17,495,73648
428,ME96746475029185930254,2022-04-17,40,34670
429,TN8214522355987078485297,2022-02-15,240,12000
430,DO33550411878258259011573518,2021-11-09,302,33259
431,KZ550381266873783223,2022-04-06,219,38462
432,DO73898255468124436663611493,2022-01-20,210,30756
433,EE147375168257797868,2022-11-10,87,95005
434,RO62OMQR5587769233641565,2022-03-22,87,55445
435,HR1432435958473604372,2022-10-23,433,78151
436,RO65RVBI7627953456331873,2022-09-26,119,40056
437,GB93OAKQ62523191743254,2021-09-24,53,52743
438,PT57030741417912254311962,2021-10-28,184,14242
439,LT413628679693964797,2022-07-11,340,33364
440,NO3086865828761,2022-09-14,338,27655
441,TN4667378826216429181747,2021-05-24,356,18031
442,RS69351652356226878829,2021-11-04,467,70379
443,MD7535183283769566342343,2022-01-24,9,87381
444,TR651914116088716882625637,2022-07-02,469,75078
445,BH54117170228155371933,2021-08-01,448,32044
446,SA6796244742786585027871,2021-11-02,228,67803
447,ES7458344574632203771807,2022-11-16,11,99179
448,PL36918126357149513163228647,2021-01-09,189,48345
449,PS791423023327836057171563541,2021-07-01,198,32609
450,LU095050410155589449,2022-03-14,445,38850
451,RO23PYKM1714647667617218,2021-09-04,72,60355
452,AL87786265824697951638613891,2021-05-13,75,24755
453,GI03CVOY256536455258649,2021-05-03,78,81155
454,CY69282132645613822487507615,2021-09-30,13,61923
455,SA7121540067876827156472,2021-06-08,412,96339
456,TR088791464386246864434009,2022-07-16,250,45302
457,MD2427894565574388607298,2022-01-18,416,7606
458,SI44202514578114854,2022-09-10,52,33198
459,RS91233834467707443110,2021-02-26,206,82430
460,CH8948450725368156692,2022-08-28,280,35964
461,KZ217076466352875489,2021-06-27,73,76451
462,CZ2234156873863327357784,2022-03-16,116,13812
463,SK6299145434789201327614,2022-02-18,262,84590
464,CZ8220267877894188342844,2022-06-26,495,78170
465,GB89DPRL23914158335248,2021-05-11,52,81212
466,DE98521933881538218474,2021-06-09,162,76100
467,MU4402747124841754798764706482,2021-08-30,481,60799
468,MK02353387786836387,2021-10-23,331,41495
469,FI9607779362199323,2021-06-02,328,7761
470,EE866780274687487419,2022-08-20,426,70836
471,CR7663434604441390678,2022-11-05,404,28521
472,TR887581845153754787490374,2021-04-26,348,31098
473,MC8624367989566728841133726,2021-01-01,192,52588
474,PL88717811513678782766324613,2021-07-21,254,41272
475,BE47882958823771,2021-01-28,262,87016
476,LV12ZOWG7284279889098,2021-09-12,469,20236
477,NL20CFMJ0278682704,2021-04-29,414,5330
478,SM5121761232981478603316680,2022-10-29,118,45141
479,NL15XTKH7621561354,2021-10-06,436,46230
480,IE71RQUK97225358726856,2022-08-23,82,92472
481,FO3473884285718348,2022-07-31,79,12043
482,NL21BJRX0309790567,2022-09-30,333,11581
483,AT548296207851911567,2022-09-21,49,47971
484,EE909177186110386844,2022-07-19,493,95503
485,CY81016174343978422943730165,2021-11-24,416,54871
486,AL28185962633853641807688604,2020-12-29,163,24020
487,DK9574880067526464,2021-08-18,142,55013
488,NO2014831474377,2021-06-14,243,19874
489,GT83517273546943685053916298,2021-11-29,91,54959
490,HU36213983403113655689358795,2022-09-02,405,75667
491,IE47OAVS75730541688713,2022-10-01,39,45581
492,SI28215114733742476,2021-04-20,223,3366
493,BH33343546312444615437,2022-01-28,454,14530
494,SA1084848255326423730126,2021-05-07,281,37394
495,TN5376520917858465837235,2021-12-22,174,14400
496,TN8911644252674610439860,2021-12-28,150,17878
497,PS742829389423799381651742335,2021-05-11,206,55103
498,VG9223587125044582612376,2022-01-07,349,56909
499,BE21623652541383,2021-04-02,431,90189
500,LV38XXSJ8190500553314,2022-10-12,221,43589
501,GB21UCTX36463672942393,2022-05-11,452,48467
502,PK4960366063824111134555,2022-07-22,693,90412
503,GR3196747295415551334099128,2022-06-04,316,4574
504,MR7567036687161792183218734,2022-11-11,375,55389
505,HU47603006971788728345846516,2022-05-26,629,39147
506,MU5746076363572254983355931677,2022-02-05,586,19720
507,SE3828158119153658252439,2021-01-01,391,25237
508,BA926625965681837733,2021-03-02,106,59524
509,MK09185605738028013,2021-03-22,480,72806
510,LB55148337523642782027227134,2021-05-10,891,12209
511,DK2136523101782155,2022-05-02,57,80450
512,LI9744462732188505043,2021-08-17,772,11017
513,HR9472734344651337248,2022-02-14,316,14256
514,NL63SOUM8044307757,2022-07-12,681,36485
515,DO97317435841187985048823933,2021-01-08,307,60933
516,BA427883512681854379,2021-06-24,955,16860
517,MU6835677958164189223145132511,2021-08-29,915,34987
518,HR0416626725384145394,2021-03-04,16,47406
519,LB54047631261541716434511537,2022-11-15,760,17972
520,BG67AGXX83876819043586,2021-02-15,712,61801
521,ES3164445317805138542649,2021-10-13,765,76772
522,HR1887812840921676062,2021-08-23,452,93288
523,RS27784911112752737454,2021-08-13,638,59423
524,SM2149548943216673534862462,2022-05-16,868,97377
525,IL558283153442791813503,2022-09-24,362,30864
526,IE76XKVL87554106474448,2022-09-13,537,92676
527,BH56212127123707331084,2022-09-18,697,4200
528,VG9635554190366532425758,2021-02-07,672,93987
529,AE158035136759270504985,2021-12-09,700,42592
530,BE81936517456676,2021-06-01,108,72337
531,GT68314449183506283651631132,2021-09-12,69,99081
532,AD4431217768758836068841,2022-05-21,773,37788
533,ME24884452918714674401,2022-11-11,414,87569
534,DK5223166433376275,2021-06-14,852,9782
535,MC2757431943159433167897506,2021-02-19,269,4849
536,IT209THSJI57484646115884154,2022-07-10,32,28373
537,PL78643575818739699781035580,2021-11-22,20,14174
538,LB03187661269146653670664178,2021-01-10,270,16978
539,VG3711655385627638035683,2022-03-26,890,14323
540,MT43ROJW78527702726819836675232,2020-11-30,988,88179
541,CY34522434832231374767366622,2022-06-16,397,30064
542,FR2806342802654308170656448,2022-05-23,278,51641
543,ES1252828329754156604296,2022-01-20,810,74086
544,LU637235747184877393,2022-02-10,37,99990
545,BH29457316829584954086,2022-05-29,440,71797
546,MK13899013626067773,2022-05-08,542,46953
547,HR0261254789416446570,2022-09-04,515,72052
548,BE02936983982217,2022-03-10,76,27661
549,PS513547465643520715839512773,2020-12-14,427,20281
550,GR2302865838534084299634745,2021-03-25,154,80919
551,TR875819155313067230575864,2021-08-09,142,56499
552,TR261371461584862472611347,2021-09-01,375,71873
553,AD6452839438633310687584,2021-03-30,804,11518
554,BG63CPVH77973368258405,2021-12-07,355,54009
555,CY68326592147071918746860177,2022-03-12,462,44282
556,SK2681802414537286147134,2022-09-22,899,99920
557,AE166829470748498722995,2021-05-24,380,35775
558,SM4415339571243161062402573,2022-06-07,250,72046
559,ME69232211388351667627,2021-11-29,772,43244
